"Timestamp","What is your Discord Tag?","What is your BattleTag?","What is your current MMR?"
"2021/03/29 12:17:27 PM AST","Kingganon#6087","Kingganon#2819","11500"
"2021/03/29 12:32:43 PM AST","clem#5667","lutinvert#21780","12000"
"2021/03/29 12:55:01 PM AST","skro#1078","skro#21811","12500"
"2021/03/29 12:58:23 PM AST","Minder#6288","Minder#2739","14079"
"2021/03/29 1:00:01 PM AST","LivvyBug#7288","Livvy#1933","7393"
"2021/03/29 1:38:42 PM AST","TerryTsang#7196","TerryTsang#1616","11800"
"2021/03/29 2:04:36 PM AST","IamShadow#0001","TehShadow#11175","14124 "
"2021/03/29 4:10:07 PM AST","AMPKC#3938","AMPKC#1994","6800"
"2021/03/29 4:54:43 PM AST","bvbat#9535","bvbat#11248","15100"
"2021/03/29 5:17:50 PM AST","Tatsumasa","Tatsumasa#1610","10000"
"2021/03/29 6:19:56 PM AST","Buli#3620","Buli#3920","11528"
"2021/03/29 7:54:58 PM AST","zorgo_hs#4980","Zorg#22245","13000"
"2021/03/29 10:07:54 PM AST","ET王#3787","ETWang#11993","12296"
"2021/03/30 10:37:23 AM AST","UMR#4629","#UMR41329","12000"
"2021/03/30 11:53:56 AM AST","demonraiser#6973","demonraiser#1855","13000"
"2021/03/30 12:32:30 PM AST","shinEE#1150","shinEE#11761","12550"
"2021/03/30 1:29:43 PM AST","stendo#0996","TTVRitos123#2133","13500"
"2021/03/30 5:41:17 PM AST","gassyvegan247","gassyvegan#1267","13058"
"2021/03/30 5:44:29 PM AST","ixxdeee#3192","ixxdeee#2108","15000"
"2021/03/30 5:58:06 PM AST","Jeppe#5664","Jeppe#23868","6437"
"2021/03/30 6:18:14 PM AST","Pekoeta#9831","Pekoeta#1812","11000"
"2021/03/30 7:18:45 PM AST","oroff#5085","oroff#2574","14884"
"2021/03/30 7:26:44 PM AST","DigDirector#5069","DigDirector#2854","13221"
"2021/03/30 7:33:46 PM AST","tourist#7496","tourist#21584","12756"
"2021/03/30 8:01:00 PM AST","Simpidimp#4220","Simpidimp#2823","13500"
"2021/03/31 12:24:18 AM AST","squirtle #4366","jeef #11401","15554"
"2021/03/31 7:03:07 AM AST","望穿秋水#8549","AutumnWater#4356","14694"
"2021/03/31 7:24:06 AM AST","DeathItself#1154","DeathItself#2106","14400"
"2021/03/31 7:39:48 AM AST","Mogrum","Mogrum#1608","10500"
"2021/03/31 7:47:17 AM AST","Brendumb#1336","Brendumb#2241","14022"
"2021/03/31 12:38:07 PM AST","kavan753120#6293","kavan753120#3392","14000"
"2021/03/31 12:40:23 PM AST","lalawill#9397","lalawill#1109","6300"
"2021/03/31 1:35:31 PM AST","NMC Etherfictus#6738","etherfictus#2513","11800"
"2021/03/31 1:42:26 PM AST","Jkirek#9955","jkirek#2444","13976"
"2021/03/31 2:04:10 PM AST","chpatro#0401","chpatro#2321","12478"
"2021/03/31 3:59:59 PM AST","BradWong#3934","BradWong#2339","11000"
"2021/03/31 7:28:10 PM AST","Joe la maguouille#9899","Patoulove#2597","12560"
"2021/04/01 1:52:51 PM AST","Kevin Lin#5851","靖炘#4632","10000"
"2021/04/01 2:18:26 PM AST","Furyhunter#8795","Furyhunter#2166","14289"
"2021/04/01 6:28:34 PM AST","lulnenko#5531","lulnenko#1783","12000"
"2021/04/01 7:35:19 PM AST","SecondBlue #8566","YEPBOAT #2526","11000"
"2021/04/01 7:39:06 PM AST","naitzo#8447","naitzo#2203","14162"
"2021/04/01 7:40:59 PM AST","ninaisnoob#0001","salami#21118","11400"
"2021/04/01 11:46:46 PM AST","Sleepy#0819","sleepy#14382","13677"
"2021/04/02 9:38:48 AM AST","URDO#7269","URDO#4628","6500"
"2021/04/02 11:00:40 AM AST","GroSSo#4184","GroSSo#21258","15114"
"2021/04/02 1:09:29 PM AST","EEdwards226#9674","MrIncredible#1376","14100"
"2021/04/02 2:45:48 PM AST","Bearclawlewis#6780","LaDispute#21507","7799"